pk_id,cluster_id
10611,88
10333,88
9842,88
9377,88
10172,88
9316,88
10053,88
10404,88
10009,88
10435,88
10352,88
9642,88
10034,88
10520,88
9566,88
10791,88
11404,89
1506,67
11685,90
11109,90
12049,91
12038,91
11948,91
12010,91
11953,91
11812,91
12182,91
11964,91
11903,91
12098,91
12029,91
11457,91
12160,91
12557,92
12582,92
12555,92
12185,92
12176,92
11902,92
11735,92
11944,92
11952,92
12238,92
12226,92
12200,92
11934,92
12247,92
12189,92
11777,92
12220,92
11816,92
11789,92
12544,92
11990,93
12473,93
12724,93
11786,93
12404,93
12092,93
12979,93
11766,93
12623,93
12314,93
12981,93
12018,93
11863,93
12078,93
13049,94
13236,95
13240,95
12677,96
12967,96
12630,96
12655,96
12698,96
12692,96
12708,96
13249,96
12811,96
12834,96
12917,96
12878,96
12874,96
12791,96
12837,96
12863,96
13025,96
13126,96
13194,96
13199,96
13200,96
13052,96
13055,96
13092,96
13017,96
12705,96
13211,96
12809,96
12937,96
12969,96
13312,97
12691,97
13265,97
13266,97
13310,97
12964,97
13358,97
13315,97
13004,97
13337,97
13952,98
13946,98
13909,99
13876,100
14395,101
14364,102
13993,103
13998,103
14367,104
13610,105
13634,105
13391,105
14547,105
13530,105
13607,105
13481,105
13493,105
14552,105
13490,105
109902,106
15243,107
15267,107
14509,107
15873,107
14852,107
15437,107
14618,107
15599,107
14860,107
15838,107
15850,107
14606,107
15141,107
15205,107
14638,107
14687,107
15280,107
15342,107
15706,107
14974,107
15051,107
15507,107
15500,107
15791,107
15241,107
14776,107
14844,107
14981,107
15759,107
15061,107
15574,107
14681,107
15422,107
14777,107
15661,107
15158,107
14920,107
14639,107
14748,107
14583,107
15557,107
15586,107
15146,107
15225,107
15056,107
15156,107
15219,107
14631,107
14799,107
15133,107
14616,107
15261,107
14988,107
15357,107
15643,107
15477,107
15229,107
15447,107
15387,107
15315,107
11643,108
16307,109
15645,109
17627,109
17214,109
16796,109
17137,109
16958,109
16937,109
17003,109
16037,109
16960,109
16196,109
16074,109
17664,109
17256,109
17222,109
16058,109
16312,109
16906,109
17058,109
16955,109
16001,109
16897,109
16101,109
17728,109
17021,109
17648,109
16291,109
16304,109
17279,109
16145,109
17184,109
17573,109
17608,109
17111,109
16140,109
16248,109
16157,109
16159,109
16136,109
16853,109
17263,109
16053,109
16264,109
15977,109
15937,109
16286,109
17037,109
17270,109
17286,109
17164,109
16194,109
17720,109
16849,109
16259,109
16795,109
17024,109
16300,109
16113,109
16321,109
11673,108
17921,110
17934,110
17944,110
17979,110
17993,110
16900,110
17910,110
17723,110
17040,110
17218,110
17284,110
17652,110
16153,110
17577,110
16774,110
17992,110
18010,110
17878,110
17960,110
17889,110
18195,111
18306,112
18318,112
18330,112
18438,113
18440,113
18510,114
19797,57
19507,57
19295,57
18657,57
18341,57
19619,57
18729,57
18490,57
18870,57
18551,57
19103,57
18484,57
18463,57
18606,57
18507,57
19663,57
19391,57
18842,57
18138,57
18951,57
19521,57
19333,57
18728,57
19710,57
19220,57
18331,57
18424,57
18248,57
19263,57
18496,57
18294,57
19092,57
18279,57
19703,57
19526,57
18931,57
18252,57
18502,57
19706,57
18853,57
18126,57
18813,57
18401,57
18175,57
19633,57
19222,57
18839,57
18458,57
18897,57
18850,57
18719,57
18749,57
19387,57
18413,57
18167,57
18388,57
18583,57
18415,57
17950,57
19495,57
19708,57
19499,57
19449,57
18124,57
18922,57
18269,57
19075,57
18960,57
19471,57
19670,57
19339,57
18761,57
18740,57
19058,57
18178,57
18031,57
19403,57
18767,57
19115,57
18919,57
19399,57
18486,57
18081,57
19237,57
19305,57
19321,57
18446,57
18245,57
19661,57
19678,57
19514,57
18890,57
18123,57
18291,57
18805,57
19188,57
19549,57
18488,57
19131,57
18726,57
19185,57
18419,57
18384,57
19715,57
18627,57
19352,57
18995,57
19187,57
18142,57
19571,57
18788,57
19211,57
18381,57
19112,57
19601,57
18685,57
18296,57
18733,57
19740,57
19780,57
20282,115
20277,115
20219,116
20498,57
20380,57
19792,57
19819,57
20125,57
20134,57
19766,57
18635,57
18771,57
19324,57
18573,57
20271,57
20251,57
20121,57
19764,57
20115,57
19453,57
19665,57
18518,57
18430,57
18332,57
19226,57
20267,57
20268,57
20169,57
20294,57
20201,57
20279,57
20288,57
20149,57
20364,57
20315,57
20272,57
20273,57
19845,57
19839,57
19867,57
19899,57
